CLT AGE,CLT CATEGORIE,SEGMENT,CLT REV MENS NET,MMM,VOLUME DES REVENUS,CREDIT CONSO,CREDIT IMMO,CLASSE DE RISQUE,PRIME_ASSURANCE
45,7000,CLASSE MOYENNE,935,942.567,0,0,42560.209,0,817.434
73,6000,CLASSE MOYENNE,0,16482.732,17755.473,0,19818.194,0,463.746
44,7000,HAUT DE GAMME,5000,4113.287,2735.04,0,46723.55,0,218.666
40,7000,CLASSE MOYENNE,2122,2609.6,34467.377,0,43771.127,0,341.597
51,7000,HAUT DE GAMME,2500,3752.877,2797.732,17430.929,9811.041,0,248.372
51,7000,CLASSE MOYENNE,2023,1614.595,3957.02,5000,20438.589,0,258.058
50,7000,HAUT DE GAMME,5000,5494.668,5959.06,0,189826.897,0,1898.213
38,7000,CLASSE MOYENNE,2375,2201.626,14.401,5533.156,93651.36,0,1065.912
59,7000,CLASSE MOYENNE,757,1092.049,18.214,0,31433.72,0,609.143
56,7000,CLASSE MOYENNE,1129,1008.699,1079.915,0,24026.603,0,344.708
46,7000,HAUT DE GAMME,2700,12223.769,89275.479,0,49366.059,0,462.066
58,7000,HAUT DE GAMME,2145,18262.787,5793.66,16933.298,9132.628,0,307.375
54,7000,CLASSE MOYENNE,2196,1968.893,71.926,0,95170.733,0,1205.94
63,7000,HAUT DE GAMME,2000,13763.39,16830.7991,0,63871.369,0,747.295
52,7000,HAUT DE GAMME,4252,4950.409,0,3623.053,61587.679,0,529.672
45,6000,CLASSE MOYENNE,15000,14083.024,0,26568.014,24974.723,0,412.936
49,7000,CLASSE MOYENNE,1015,1079.49,282.191,0,47035.818,0,882.726
40,7150,TRE,13315,2534.46,86.513,0,154916.217,0,730.424
56,7000,CLASSE MOYENNE,1194,1073.534,76.691,8886.694,13936.678,0,375.052
46,7000,CLASSE MOYENNE,1242,3513.74,8243.779,0,96235.085,0,1820.981
43,7000,CLASSE MOYENNE,690,1184.068,22.493,0,20377.536,0,251.242
50,7000,CLASSE MOYENNE,1081,944.504,247.778,0,45260.093,0,863.641
63,7000,HAUT DE GAMME,5406,5162.755,9685.128,12943.03,71139.64,0,835.472
58,6000,HAUT DE GAMME,2000,8282.688,0,81642.688,22709.858,0,1740.795
53,6000,HAUT DE GAMME,6500,185874.73,7023.515,0,38688.621,0,222.256
53,7000,CLASSE MOYENNE,1142,1042.905,0,0,49551.144,0,940.358
38,7000,CLASSE MOYENNE,2289,4421.68,32810.36,11388.23,66386.858,0,642.177
60,7000,CLASSE MOYENNE,340,1411.472,19.803,3313.081,13237.774,0,440.907
